filename,Transect Distance (m),Ice,Water
142.jpg,48,95.38061523,4.619384766
142.jpg,288,95.38061523,4.619384766
143.jpg,289,76.60424805,23.39575195
143.jpg,49,76.60424805,23.39575195
144.jpg,50,87.29125976,12.708740234374998
144.jpg,290,87.29125976,12.708740234374998
145.jpg,291,99.05468751,0.9453125
145.jpg,51,99.05468751,0.9453125
146.jpg,52,78.68017578,21.31982422
146.jpg,292,78.68017578,21.31982422
147.jpg,53,96.46118164,3.5388183593749996
147.jpg,293,96.46118164,3.5388183593749996
148.jpg,294,87.76391601,12.23608398
148.jpg,54,87.76391601,12.23608398
149.jpg,295,79.00219727,20.99780273
149.jpg,55,79.00219727,20.99780273
150.jpg,57,82.60107422,17.39892578
150.jpg,297,82.60107422,17.39892578
151.jpg,298,77.83203125,22.16796875
151.jpg,58,77.83203125,22.16796875
152.jpg,59,19.97924805,80.02075195
152.jpg,299,19.97924805,80.02075195
153.jpg,300,73.375,26.625
153.jpg,60,73.375,26.625
154.jpg,61,34.55126953,65.44873047
154.jpg,301,34.55126953,65.44873047
155.jpg,302,82.97949219,17.02050781
155.jpg,62,82.97949219,17.02050781
156.jpg,63,76.03247071,23.9675293
156.jpg,303,76.03247071,23.9675293
157.jpg,304,80.45532227,19.54467773
157.jpg,64,80.45532227,19.54467773
158.jpg,305,74.9609375,25.039062499999996
158.jpg,65,74.9609375,25.039062499999996
159.jpg,306,74.01000976,25.98999023
159.jpg,66,74.01000976,25.98999023
160.jpg,308,79.32519531,20.67480469
160.jpg,68,79.32519531,20.67480469
161.jpg,69,68.45605469,31.54394531
161.jpg,309,68.45605469,31.54394531
162.jpg,70,87.85717773,12.14282227
162.jpg,310,87.85717773,12.14282227
163.jpg,311,68.55541992,31.44458008
163.jpg,71,68.55541992,31.44458008
164.jpg,312,92.16259765,7.837402344
164.jpg,72,92.16259765,7.837402344
165.jpg,73,69.39746093,30.60253906
165.jpg,313,69.39746093,30.60253906
166.jpg,314,80.01635743,19.98364258
166.jpg,74,80.01635743,19.98364258
167.jpg,75,75.66381836,24.33618164
167.jpg,315,75.66381836,24.33618164
168.jpg,316,72.30737305,27.69262695
168.jpg,76,72.30737305,27.69262695
169.jpg,317,76.22802734,23.77197266
169.jpg,77,76.22802734,23.77197266
170.jpg,79,81.65942383,18.34057617
170.jpg,319,81.65942383,18.34057617
171.jpg,320,99.95141601,0.048583984
171.jpg,80,99.95141601,0.048583984
172.jpg,81,99.99584961,0.004150391
172.jpg,321,99.99584961,0.004150391
173.jpg,82,99.35229492,0.647705078
173.jpg,322,99.35229492,0.647705078
174.jpg,83,81.29418946,18.70581055
174.jpg,323,81.29418946,18.70581055
175.jpg,324,85.9465332,14.0534668
175.jpg,84,85.9465332,14.0534668
176.jpg,85,66.80541992,33.19458008
176.jpg,325,66.80541992,33.19458008
177.jpg,86,97.77490234,2.225097656
177.jpg,326,97.77490234,2.225097656
178.jpg,87,65.68994141,34.31005859
178.jpg,327,65.68994141,34.31005859
179.jpg,88,99.77441406,0.225585938
179.jpg,328,99.77441406,0.225585938
180.jpg,90,33.91455078,66.08544922
180.jpg,330,33.91455078,66.08544922
181.jpg,91,27.74145508,72.25854492
181.jpg,331,27.74145508,72.25854492
182.jpg,92,94.63623047,5.363769531
182.jpg,332,94.63623047,5.363769531
183.jpg,93,82.71020508,17.28979492
183.jpg,333,82.71020508,17.28979492
184.jpg,94,69.19921875,30.800781249999996
184.jpg,334,69.19921875,30.800781249999996
185.jpg,95,81.93041992,18.06958008
185.jpg,335,81.93041992,18.06958008
186.jpg,336,92.43798828,7.562011719
186.jpg,96,92.43798828,7.562011719
187.jpg,337,85.51855469,14.48144531
187.jpg,97,85.51855469,14.48144531
188.jpg,98,77.66918945,22.33081055
188.jpg,338,77.66918945,22.33081055
189.jpg,339,81.34692383,18.65307617
189.jpg,99,81.34692383,18.65307617
190.jpg,101,93.79370117,6.206298828
190.jpg,341,93.79370117,6.206298828
191.jpg,102,97.74072266,2.259277344
191.jpg,342,97.74072266,2.259277344
192.jpg,103,96.77001953,3.2299804687500004
192.jpg,343,96.77001953,3.2299804687500004
193.jpg,104,60.43603516,39.56396484
193.jpg,344,60.43603516,39.56396484
194.jpg,105,99.79541016,0.20458984375000003
194.jpg,345,99.79541016,0.20458984375000003
195.jpg,106,99.89379882,0.10620117187499999
195.jpg,346,99.89379882,0.10620117187499999
196.jpg,107,86.67407226,13.325927734375002
