Transect Distance (m),filename,datetime,Cluster_0_Percent,Cluster_0_HSV,Cluster_1_Percent,Cluster_1_HSV,Cluster_2_Percent,Cluster_2_HSV,,Ice,Water
245,102.jpg,1970-01-01T00:00:00.000,97.82250977,"(226.53, 221.04, 215.70)",0.034912109,"(46.33, 38.59, 31.21)",2.142578125,"(136.49, 129.95, 117.47)",,99.9650879,0.034912109
6,103.jpg,1970-01-01T00:00:00.000,38.13110352,"(226.53, 221.04, 215.70)",25.8840332,"(46.33, 38.59, 31.21)",35.98486328,"(136.49, 129.95, 117.47)",,74.1159668,25.8840332
246,103.jpg,1970-01-01T00:00:00.000,38.13110352,"(226.53, 221.04, 215.70)",25.8840332,"(46.33, 38.59, 31.21)",35.98486328,"(136.49, 129.95, 117.47)",,74.1159668,25.8840332
7,104.jpg,1970-01-01T00:00:00.000,56.82421875,"(226.53, 221.04, 215.70)",20.7043457,"(46.33, 38.59, 31.21)",22.47143555,"(136.49, 129.95, 117.47)",,79.2956543,20.7043457
247,104.jpg,1970-01-01T00:00:00.000,56.82421875,"(226.53, 221.04, 215.70)",20.7043457,"(46.33, 38.59, 31.21)",22.47143555,"(136.49, 129.95, 117.47)",,79.2956543,20.7043457
248,105.jpg,1970-01-01T00:00:00.000,86.71777344,"(226.53, 221.04, 215.70)",1.109130859,"(46.33, 38.59, 31.21)",12.1730957,"(136.49, 129.95, 117.47)",,98.89086914,1.109130859
8,105.jpg,1970-01-01T00:00:00.000,86.71777344,"(226.53, 221.04, 215.70)",1.109130859,"(46.33, 38.59, 31.21)",12.1730957,"(136.49, 129.95, 117.47)",,98.89086914,1.109130859
249,106.jpg,1970-01-01T00:00:00.000,64.96630859,"(226.53, 221.04, 215.70)",13.38232422,"(46.33, 38.59, 31.21)",21.65136719,"(136.49, 129.95, 117.47)",,86.61767578,13.38232422
9,106.jpg,1970-01-01T00:00:00.000,64.96630859,"(226.53, 221.04, 215.70)",13.38232422,"(46.33, 38.59, 31.21)",21.65136719,"(136.49, 129.95, 117.47)",,86.61767578,13.38232422
10,107.jpg,1970-01-01T00:00:00.000,71.46020508,"(226.53, 221.04, 215.70)",11.35180664,"(46.33, 38.59, 31.21)",17.18798828,"(136.49, 129.95, 117.47)",,88.64819336,11.35180664
250,107.jpg,1970-01-01T00:00:00.000,71.46020508,"(226.53, 221.04, 215.70)",11.35180664,"(46.33, 38.59, 31.21)",17.18798828,"(136.49, 129.95, 117.47)",,88.64819336,11.35180664
11,108.jpg,1970-01-01T00:00:00.000,57.515625,"(226.53, 221.04, 215.70)",19.1003418,"(46.33, 38.59, 31.21)",23.3840332,"(136.49, 129.95, 117.47)",,80.8996582,19.1003418
251,108.jpg,1970-01-01T00:00:00.000,57.515625,"(226.53, 221.04, 215.70)",19.1003418,"(46.33, 38.59, 31.21)",23.3840332,"(136.49, 129.95, 117.47)",,80.8996582,19.1003418
12,109.jpg,1970-01-01T00:00:00.000,58.58520508,"(226.53, 221.04, 215.70)",19.89550781,"(46.33, 38.59, 31.21)",21.51928711,"(136.49, 129.95, 117.47)",,80.10449219,19.89550781
252,109.jpg,1970-01-01T00:00:00.000,58.58520508,"(226.53, 221.04, 215.70)",19.89550781,"(46.33, 38.59, 31.21)",21.51928711,"(136.49, 129.95, 117.47)",,80.10449219,19.89550781
14,110.jpg,1970-01-01T00:00:00.000,27.49536133,"(226.53, 221.04, 215.70)",1.198730469,"(46.33, 38.59, 31.21)",71.3059082,"(136.49, 129.95, 117.47)",,98.80126953,1.198730469
254,110.jpg,1970-01-01T00:00:00.000,27.49536133,"(226.53, 221.04, 215.70)",1.198730469,"(46.33, 38.59, 31.21)",71.3059082,"(136.49, 129.95, 117.47)",,98.80126953,1.198730469
15,111.jpg,1970-01-01T00:00:00.000,45.64770508,"(226.53, 221.04, 215.70)",1.129638672,"(46.33, 38.59, 31.21)",53.22265625,"(136.49, 129.95, 117.47)",,98.87036133,1.129638672
255,111.jpg,1970-01-01T00:00:00.000,45.64770508,"(226.53, 221.04, 215.70)",1.129638672,"(46.33, 38.59, 31.21)",53.22265625,"(136.49, 129.95, 117.47)",,98.87036133,1.129638672
16,112.jpg,1970-01-01T00:00:00.000,98.88842773,"(226.53, 221.04, 215.70)",0.002197266,"(46.33, 38.59, 31.21)",1.109375,"(136.49, 129.95, 117.47)",,99.99780273,0.002197266
256,112.jpg,1970-01-01T00:00:00.000,98.88842773,"(226.53, 221.04, 215.70)",0.002197266,"(46.33, 38.59, 31.21)",1.109375,"(136.49, 129.95, 117.47)",,99.99780273,0.002197266
17,113.jpg,1970-01-01T00:00:00.000,41.73803711,"(226.53, 221.04, 215.70)",7.994873046875001,"(46.33, 38.59, 31.21)",50.26708984,"(136.49, 129.95, 117.47)",,92.00512695,7.994873046875001
257,113.jpg,1970-01-01T00:00:00.000,41.73803711,"(226.53, 221.04, 215.70)",7.994873046875001,"(46.33, 38.59, 31.21)",50.26708984,"(136.49, 129.95, 117.47)",,92.00512695,7.994873046875001
18,114.jpg,1970-01-01T00:00:00.000,40.77197266,"(226.53, 221.04, 215.70)",40.84814453,"(46.33, 38.59, 31.21)",18.37988281,"(136.49, 129.95, 117.47)",,59.15185547,40.84814453
258,114.jpg,1970-01-01T00:00:00.000,40.77197266,"(226.53, 221.04, 215.70)",40.84814453,"(46.33, 38.59, 31.21)",18.37988281,"(136.49, 129.95, 117.47)",,59.15185547,40.84814453
19,115.jpg,1970-01-01T00:00:00.000,21.59057617,"(226.53, 221.04, 215.70)",65.64160156,"(46.33, 38.59, 31.21)",12.76782227,"(136.49, 129.95, 117.47)",,34.35839844,65.64160156
259,115.jpg,1970-01-01T00:00:00.000,21.59057617,"(226.53, 221.04, 215.70)",65.64160156,"(46.33, 38.59, 31.21)",12.76782227,"(136.49, 129.95, 117.47)",,34.35839844,65.64160156
260,116.jpg,1970-01-01T00:00:00.000,76.51733398,"(226.53, 221.04, 215.70)",0.183837891,"(46.33, 38.59, 31.21)",23.29882813,"(136.49, 129.95, 117.47)",,99.81616211,0.183837891
20,116.jpg,1970-01-01T00:00:00.000,76.51733398,"(226.53, 221.04, 215.70)",0.183837891,"(46.33, 38.59, 31.21)",23.29882813,"(136.49, 129.95, 117.47)",,99.81616211,0.183837891
261,117.jpg,1970-01-01T00:00:00.000,79.88500977,"(226.53, 221.04, 215.70)",0.366699219,"(46.33, 38.59, 31.21)",19.74829102,"(136.49, 129.95, 117.47)",,99.63330079,0.366699219
21,117.jpg,1970-01-01T00:00:00.000,79.88500977,"(226.53, 221.04, 215.70)",0.366699219,"(46.33, 38.59, 31.21)",19.74829102,"(136.49, 129.95, 117.47)",,99.63330079,0.366699219
22,118.jpg,1970-01-01T00:00:00.000,63.09179687499999,"(226.53, 221.04, 215.70)",25.50756836,"(46.33, 38.59, 31.21)",11.40063477,"(136.49, 129.95, 117.47)",,74.49243164,25.50756836
262,118.jpg,1970-01-01T00:00:00.000,63.09179687499999,"(226.53, 221.04, 215.70)",25.50756836,"(46.33, 38.59, 31.21)",11.40063477,"(136.49, 129.95, 117.47)",,74.49243164,25.50756836
263,119.jpg,1970-01-01T00:00:00.000,99.67333984,"(226.53, 221.04, 215.70)",0.001220703,"(46.33, 38.59, 31.21)",0.325439453,"(136.49, 129.95, 117.47)",,99.99877929,0.001220703
23,119.jpg,1970-01-01T00:00:00.000,99.67333984,"(226.53, 221.04, 215.70)",0.001220703,"(46.33, 38.59, 31.21)",0.325439453,"(136.49, 129.95, 117.47)",,99.99877929,0.001220703
265,120.jpg,1970-01-01T00:00:00.000,15.92041016,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",84.07958984,"(136.49, 129.95, 117.47)",,100,0
25,120.jpg,1970-01-01T00:00:00.000,15.92041016,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",84.07958984,"(136.49, 129.95, 117.47)",,100,0
26,121.jpg,1970-01-01T00:00:00.000,93.47875977,"(226.53, 221.04, 215.70)",0.002441406,"(46.33, 38.59, 31.21)",6.518798828,"(136.49, 129.95, 117.47)",,99.9975586,0.002441406
266,121.jpg,1970-01-01T00:00:00.000,93.47875977,"(226.53, 221.04, 215.70)",0.002441406,"(46.33, 38.59, 31.21)",6.518798828,"(136.49, 129.95, 117.47)",,99.9975586,0.002441406
267,122.jpg,1970-01-01T00:00:00.000,21.31518555,"(226.53, 221.04, 215.70)",30.2043457,"(46.33, 38.59, 31.21)",48.48046875,"(136.49, 129.95, 117.47)",,69.7956543,30.2043457
27,122.jpg,1970-01-01T00:00:00.000,21.31518555,"(226.53, 221.04, 215.70)",30.2043457,"(46.33, 38.59, 31.21)",48.48046875,"(136.49, 129.95, 117.47)",,69.7956543,30.2043457
268,123.jpg,1970-01-01T00:00:00.000,26.57348633,"(226.53, 221.04, 215.70)",23.83984375,"(46.33, 38.59, 31.21)",49.58666992,"(136.49, 129.95, 117.47)",,76.16015625,23.83984375
28,123.jpg,1970-01-01T00:00:00.000,26.57348633,"(226.53, 221.04, 215.70)",23.83984375,"(46.33, 38.59, 31.21)",49.58666992,"(136.49, 129.95, 117.47)",,76.16015625,23.83984375
29,125.jpg,1970-01-01T00:00:00.000,89.90356445,"(226.53, 221.04, 215.70)",1.452880859,"(46.33, 38.59, 31.21)",8.643554688,"(136.49, 129.95, 117.47)",,98.54711914,1.452880859
269,125.jpg,1970-01-01T00:00:00.000,89.90356445,"(226.53, 221.04, 215.70)",1.452880859,"(46.33, 38.59, 31.21)",8.643554688,"(136.49, 129.95, 117.47)",,98.54711914,1.452880859
270,126.jpg,1970-01-01T00:00:00.000,57.82128906,"(226.53, 221.04, 215.70)",28.41186523,"(46.33, 38.59, 31.21)",13.7668457,"(136.49, 129.95, 117.47)",,71.58813476,28.41186523
30,126.jpg,1970-01-01T00:00:00.000,57.82128906,"(226.53, 221.04, 215.70)",28.41186523,"(46.33, 38.59, 31.21)",13.7668457,"(136.49, 129.95, 117.47)",,71.58813476,28.41186523
31,127.jpg,1970-01-01T00:00:00.000,73.70654297,"(226.53, 221.04, 215.70)",7.723144531249999,"(46.33, 38.59, 31.21)",18.5703125,"(136.49, 129.95, 117.47)",,92.27685547,7.723144531249999
271,127.jpg,1970-01-01T00:00:00.000,73.70654297,"(226.53, 221.04, 215.70)",7.723144531249999,"(46.33, 38.59, 31.21)",18.5703125,"(136.49, 129.95, 117.47)",,92.27685547,7.723144531249999
32,128.jpg,1970-01-01T00:00:00.000,57.078125,"(226.53, 221.04, 215.70)",7.599121094,"(46.33, 38.59, 31.21)",35.32275391,"(136.49, 129.95, 117.47)",,92.40087891,7.599121094
272,128.jpg,1970-01-01T00:00:00.000,57.078125,"(226.53, 221.04, 215.70)",7.599121094,"(46.33, 38.59, 31.21)",35.32275391,"(136.49, 129.95, 117.47)",,92.40087891,7.599121094
33,129.jpg,1970-01-01T00:00:00.000,26.54321289,"(226.53, 221.04, 215.70)",16.50170898,"(46.33, 38.59, 31.21)",56.95507813,"(136.49, 129.95, 117.47)",,83.49829102,16.50170898
